city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kalulushi,20.0,MX,1578341061.0,50.0,16.38,-93.6,25.0,1.5
constantine,75.0,IN,1578341062.0,87.0,28.58,77.04,17.22,2.1
superior,100.0,KZ,1578341062.0,93.0,53.07,76.1,-8.79,1.77
burnie,75.0,BG,1578341062.0,64.0,42.22,24.1,1.0,2.1
bambous virieux,91.0,BR,1578341062.0,86.0,-17.32,-53.22,24.19,2.97
lucapa,37.0,MG,1578341062.0,88.0,-13.19,49.05,24.82,1.89
manta,20.0,MG,1578341062.0,78.0,-25.04,46.38,26.0,6.2
puerto ayacucho,75.0,JP,1578341062.0,68.0,26.35,127.87,21.0,3.6
qui nhon,90.0,BW,1578341062.0,52.0,-20.47,22.7,27.22,1.5
deputatskiy,0.0,AU,1578341062.0,62.0,-34.5,137.49,19.04,4.45
yarim,75.0,JP,1578340784.0,74.0,35.73,140.83,2.22,3.1
tsihombe,100.0,ZA,1578341063.0,87.0,-34.0,24.73,18.31,2.21
baculin,100.0,ID,1578340969.0,98.0,-0.87,134.08,22.37,1.38
talnakh,73.0,RU,1578341063.0,96.0,61.68,96.39,-15.19,1.35
fortuna,75.0,NO,1578340982.0,93.0,67.67,12.69,8.0,9.3
mocambique,20.0,CO,1578340887.0,49.0,6.19,-67.49,34.0,8.2
balakhta,0.0,NE,1578341063.0,20.0,14.51,6.76,19.66,5.7
ifo,75.0,TR,1578341064.0,80.0,40.24,33.03,2.78,6.2
kualakapuas,1.0,US,1578341064.0,45.0,33.19,-82.53,18.33,3.1
wanning,2.0,PT,1578341064.0,8.0,41.11,-7.32,3.89,0.43
alekseyevsk,90.0,CL,1578341064.0,76.0,-41.87,-73.83,14.0,5.7
conakry,90.0,CA,1578340940.0,71.0,49.72,-86.95,-13.0,4.1
severo-kurilsk,0.0,DE,1578341064.0,69.0,48.05,12.68,0.0,4.6
esperance,75.0,MU,1578340786.0,94.0,-20.21,57.76,26.67,1.0
aasiaat,0.0,MD,1578340829.0,69.0,48.03,28.7,-1.67,1.38
rundu,75.0,AU,1578341065.0,88.0,-28.95,153.24,21.0,1.29
walvis bay,28.0,RU,1578340920.0,99.0,70.62,147.9,-29.51,1.24
santa maria,100.0,PH,1578341065.0,82.0,6.42,122.03,22.83,1.8
evensk,1.0,US,1578340944.0,28.0,35.37,-120.85,20.56,5.7
petropavlovsk-kamchatskiy,60.0,GL,1578340780.0,76.0,61.99,-49.67,-18.34,6.49
bulolo,100.0,SE,1578341065.0,100.0,63.29,18.72,-2.0,1.0
agadez,20.0,BR,1578340928.0,66.0,-28.24,-48.67,31.0,4.6
billings,94.0,RU,1578341065.0,93.0,65.01,53.91,-13.89,3.19
jiexiu,90.0,CA,1578340936.0,70.0,55.1,-105.3,-18.0,8.2
tifton,53.0,BR,1578341066.0,89.0,-17.6,-44.73,24.08,0.62
jambi,75.0,NU,1578340883.0,88.0,-19.06,-169.92,27.0,5.1
sotouboua,0.0,IN,1578340779.0,82.0,11.67,92.75,26.74,6.66
san ciro de acosta,37.0,NZ,1578341066.0,76.0,-45.87,170.5,11.25,10.73
tiksi,40.0,RU,1578341066.0,92.0,69.41,86.18,-12.0,10.0
ondjiva,0.0,RU,1578341066.0,72.0,51.01,90.2,-23.78,0.52
teguldet,100.0,AO,1578340947.0,86.0,-15.19,12.15,22.25,3.93
hualmay,90.0,CA,1578340821.0,80.0,50.7,-127.42,5.0,5.7
champerico,40.0,US,1578340984.0,52.0,29.94,-90.04,22.22,4.6
dwarka,5.0,IT,1578341067.0,79.0,46.46,10.35,0.0,1.5
kachiry,75.0,JP,1578340926.0,52.0,35.74,139.53,7.22,5.7
septemvri,46.0,BR,1578341067.0,55.0,-27.4,-51.22,27.31,0.37
alto araguaia,10.0,KE,1578341067.0,89.0,0.23,37.94,20.12,2.08
ambilobe,80.0,CA,1578340981.0,74.0,43.74,-81.71,4.44,8.49
amboasary,20.0,BR,1578340773.0,62.0,-21.64,-41.05,32.0,6.7
gushikawa,95.0,IN,1578341068.0,42.0,25.63,74.93,15.98,1.87
sehithwa,75.0,NO,1578340946.0,86.0,71.03,27.85,-3.0,5.1
port victoria,72.0,PG,1578341068.0,75.0,-3.66,152.44,28.88,2.76
hasaki,0.0,SY,1578341068.0,59.0,35.01,37.05,9.18,6.35
kruisfontein,90.0,US,1578341068.0,100.0,46.98,-123.89,11.11,11.8
andenes,100.0,RU,1578340952.0,87.0,64.27,100.22,-13.18,2.39
manokwari,0.0,PE,1578341068.0,100.0,-5.09,-81.11,17.0,7.7
baykit,100.0,RU,1578341068.0,92.0,61.69,33.62,-1.0,4.0
sorland,99.0,ID,1578341068.0,77.0,-3.54,118.97,25.25,3.11
puerto carreno,90.0,US,1578340973.0,73.0,44.1,-70.21,-3.33,1.72
bargal,0.0,IR,1578341069.0,53.0,32.69,47.27,12.58,2.52
paramithia,60.0,AR,1578340947.0,51.0,-46.43,-67.52,16.95,10.96
dakoro,90.0,JP,1578341069.0,70.0,35.55,133.23,8.0,2.6
tahta,0.0,RU,1578341069.0,87.0,63.05,179.32,-24.52,5.04
cubuk,100.0,BR,1578341049.0,47.0,-8.6,-38.57,30.93,3.94
avera,0.0,IR,1578341069.0,44.0,33.6,56.92,5.0,2.1
custoias,86.0,TZ,1578341069.0,91.0,-3.17,33.8,18.03,2.45
chagda,36.0,FR,1578340927.0,93.0,43.56,6.97,12.0,1.89
ancud,96.0,RU,1578341070.0,97.0,52.86,46.09,-4.71,1.89
geraldton,75.0,NO,1578340981.0,86.0,70.86,29.09,-3.0,5.1
loding,0.0,KZ,1578341070.0,68.0,44.51,50.26,-0.39,4.0
quatre cocos,32.0,CO,1578341070.0,43.0,6.3,-70.2,32.43,4.64
kamenka,0.0,IR,1578341070.0,67.0,33.53,47.61,1.76,0.83
codrington,60.0,PE,1578341070.0,68.0,-8.82,-77.46,11.22,3.45
chokurdakh,0.0,RU,1578341070.0,74.0,51.95,85.34,-12.68,0.95
guiong,39.0,CN,1578340970.0,63.0,40.29,97.04,-8.48,5.79
morro bay,20.0,MK,1578340843.0,46.0,41.28,20.71,-2.0,4.6
paamiut,0.0,JP,1578341071.0,61.0,33.72,135.99,9.06,1.82
ornskoldsvik,75.0,AU,1578340936.0,93.0,-37.83,140.78,8.0,1.5
imbituba,60.0,PT,1578341071.0,93.0,41.26,-8.72,7.78,1.5
sorvag,90.0,US,1578341071.0,88.0,21.44,-157.84,26.0,4.1
izhma,51.0,NA,1578341071.0,44.0,-20.37,14.96,22.06,4.17
la ronge,96.0,PG,1578340964.0,75.0,-2.02,147.27,29.1,5.12
varzea da palma,47.0,RU,1578341071.0,93.0,62.71,56.19,-15.81,2.98
alofi,94.0,PY,1578341071.0,50.0,-19.93,-60.77,31.0,4.32
port blair,5.0,CA,1578341071.0,57.0,48.41,-89.26,-1.67,4.6
dunedin,1.0,US,1578340803.0,84.0,59.64,-151.54,-11.0,2.5
dudinka,100.0,CA,1578340953.0,96.0,60.75,-137.51,-17.79,1.31
teeli,67.0,FR,1578341072.0,80.0,49.92,4.08,4.44,5.7
namibe,0.0,AU,1578340978.0,67.0,-34.85,139.16,16.11,2.1
port hardy,0.0,NG,1578341072.0,33.0,7.37,7.63,26.57,1.56
algiers,24.0,RU,1578341072.0,92.0,57.08,64.26,-8.0,3.0
oga,1.0,US,1578341072.0,29.0,44.53,-109.06,3.33,8.7
nishihara,20.0,CR,1578341072.0,52.0,10.15,-85.45,31.0,9.8
campos novos,5.0,RU,1578341072.0,96.0,58.38,97.46,-12.46,1.74
maua,100.0,ID,1578341073.0,77.0,-8.84,121.65,27.58,3.85
goderich,88.0,PY,1578340827.0,43.0,-26.98,-56.83,32.37,1.26
pafos,0.0,FR,1578341073.0,87.0,46.95,4.3,0.56,1.43
sao joao da barra,45.0,KE,1578341073.0,74.0,-0.46,39.64,26.71,6.02
shahpura,0.0,GL,1578340993.0,72.0,60.14,-45.24,-10.48,23.38
mehamn,40.0,NO,1578341073.0,80.0,70.66,23.68,2.0,6.2
namatanai,75.0,PT,1578340968.0,72.0,33.08,-16.33,17.0,4.6
salamiyah,0.0,IR,1578341031.0,79.0,36.42,54.97,-1.03,0.56
hoquiam,100.0,BZ,1578341073.0,74.0,16.97,-88.23,26.0,3.6
tura,20.0,US,1578341073.0,50.0,35.03,-90.03,16.11,3.6
paita,40.0,SA,1578341074.0,63.0,17.54,44.22,16.0,1.0
pryazha,40.0,ES,1578341074.0,93.0,42.77,-9.06,11.67,1.0
majene,99.0,CU,1578341074.0,77.0,22.9,-83.16,21.52,5.55
lewiston,100.0,GL,1578340952.0,83.0,65.42,-52.9,-18.01,5.21
dehloran,0.0,NE,1578340793.0,25.0,18.69,12.92,13.52,3.69
mar del plata,0.0,SY,1578341074.0,66.0,34.45,40.92,11.18,4.81
sakaiminato,46.0,PE,1578341074.0,44.0,-4.67,-73.52,33.98,1.72
beringovskiy,5.0,VE,1578341074.0,66.0,9.75,-63.18,28.78,2.12
floresta,100.0,RU,1578341074.0,94.0,63.92,127.47,-18.68,5.03
tabas,90.0,RU,1578341075.0,92.0,64.56,39.82,-5.0,3.0
mrirt,0.0,FR,1578341075.0,84.0,46.42,3.91,2.78,1.18
sola,40.0,US,1578341075.0,76.0,60.55,-151.26,-17.0,2.1
tancuayalab,96.0,NA,1578341075.0,94.0,-17.91,15.98,22.0,2.6
saint-joseph,40.0,BR,1578340821.0,38.0,2.82,-60.67,33.0,4.6
russkiy kameshkir,100.0,IN,1578340968.0,96.0,30.78,78.62,-7.88,0.42
berlevag,100.0,CD,1578341075.0,83.0,0.12,29.29,16.87,1.6
fort-shevchenko,19.0,KM,1578341075.0,79.0,-11.38,43.28,27.94,2.69
cravo norte,5.0,UA,1578341076.0,80.0,52.05,33.94,-4.03,1.38
kuhdasht,62.0,MZ,1578341076.0,84.0,-25.97,32.47,24.5,1.47
pomabamba,13.0,GH,1578340940.0,68.0,4.87,-2.24,25.29,1.36
altayskoye,40.0,US,1578340978.0,41.0,35.24,-87.33,15.56,2.6
wau,100.0,BI,1578340930.0,89.0,-3.48,29.48,14.03,2.05
yumen,20.0,CA,1578341076.0,69.0,56.19,-117.61,-15.56,2.1
poum,,,,,,,,
shingu,,,,,,,,
mount gambier,,,,,,,,
lavra,,,,,,,,
ahuimanu,,,,,,,,
khorixas,,,,,,,,
lorengau,,,,,,,,
troitsko-pechorsk,,,,,,,,
mayor pablo lagerenza,,,,,,,,
thunder bay,,,,,,,,
homer,,,,,,,,
haines junction,,,,,,,,
hirson,,,,,,,,
palmer,,,,,,,,
ankpa,,,,,,,,
yushala,,,,,,,,
cody,,,,,,,,
nicoya,,,,,,,,
boguchany,,,,,,,,
ende,,,,,,,,
san patricio,,,,,,,,
autun,,,,,,,,
garissa,,,,,,,,
nanortalik,,,,,,,,
hammerfest,,,,,,,,
camacha,,,,,,,,
shahrud,,,,,,,,
dangriga,,,,,,,,
whitehaven,,,,,,,,
najran,,,,,,,,
muros,,,,,,,,
bahia honda,,,,,,,,
maniitsoq,,,,,,,,
bilma,,,,,,,,
abu kamal,,,,,,,,
saquena,,,,,,,,
maturin,,,,,,,,
sangar,,,,,,,,
severodvinsk,,,,,,,,
saint-francois,,,,,,,,
kenai,,,,,,,,
ondangwa,,,,,,,,
boa vista,,,,,,,,
amderma,,,,,,,,
lata,,,,,,,,
butembo,,,,,,,,
mitsamiouli,,,,,,,,
druzhba,,,,,,,,
matola,,,,,,,,
axim,,,,,,,,
lawrenceburg,,,,,,,,
matara,,,,,,,,
grimshaw,,,,,,,,
